time	f0
1.224	102.55
1.234	100.45
1.244	98.64
1.254	97.58
1.264	96.66
1.274	95.03
1.314	100.54
1.324	99.59
1.334	96.94
1.344	98.96
1.354	101.26
1.364	99.61
1.374	96.83
1.424	76.4
1.434	76.34
1.444	76.22
1.454	75.98
1.464	75.38
1.474	74.8
1.664	72.85
1.674	71.9
1.684	71.35
1.854	79.22
1.864	78.92
1.874	77.31
2.044	382.62
2.054	398.18
2.064	404.85
2.074	434.81
2.084	443.8
2.094	432.02
2.204	306.09
2.214	299.48
2.224	300.42
2.234	309.96
2.244	308.89
2.254	313.55
2.264	318.52
2.634	520.2
2.644	511.95
2.654	507.59
2.954	297.26
2.964	290.29
2.974	282.01
2.984	292.76
2.994	315.08
3.004	307.63
3.014	298
3.194	74.46
3.204	75.12
3.214	75.53
3.244	326.52
3.254	323.14
3.264	327.38
3.454	86.35
3.464	88.01
3.474	90.71
3.484	91.94
3.494	92.97
3.504	93.84
3.514	94.4
3.544	99.06
3.554	95.5
3.564	93.82
3.574	73.35
3.584	72.61
3.594	71.58
4.504	86.28
4.514	88.58
4.524	90.1
4.534	90.41
4.544	90.33
4.554	90.03
4.564	89.71
4.574	89.07
4.584	88.34
4.594	87.2
4.604	87.16
4.614	86.99
4.624	86.57
4.634	86.93
4.644	87.26
4.654	87.57
4.664	87.39
4.674	86.62
4.684	85.55
4.694	84.22
4.704	83.09
4.714	80.16
4.754	112.78
4.764	115.24
4.774	119.52
4.784	121.29
4.794	86.64
4.804	87.52
4.824	74.77
4.834	72.22
4.844	71.67
4.854	70.21
4.864	68.89
4.874	70.19
4.884	71.18
4.894	63.67
4.904	64.2
4.934	522.79
4.944	515.06
5.094	105.35
5.104	105.44
5.114	105.33
5.124	104.31
5.134	102.16
5.144	100.74
5.154	99.6
5.164	97.99
5.174	96.94
5.184	96.44
5.194	98.62
5.204	101.49
5.214	101.99
5.224	99.35
5.234	98.16
5.244	97.2
5.254	98.45
5.264	99.93
5.274	100.76
5.334	97.41
5.344	94.34
5.354	93.35
5.374	86.63
5.384	87.68
5.394	87.05
5.404	87.02
5.414	86.45
5.424	85.17
5.434	84.75
5.444	84.59
5.454	84.64
5.464	84.09
5.474	84.92
5.484	84.59
5.494	84.54
5.504	84.29
5.514	84.18
5.524	68.56
5.534	70.95
5.544	69.94
5.564	373.05
5.574	368.75
5.584	357.55
5.594	387.61
5.604	405.86
5.614	407.95
5.624	416.91
5.634	402.54
5.654	95.54
5.664	97.06
5.674	99.18
5.684	101.51
5.694	104
5.704	106.59
5.714	108.34
5.724	109.3
5.734	111.4
5.744	110.65
5.754	108.3
5.764	108.21
5.774	110.64
5.784	109.75
5.794	106.61
5.804	106.5
5.814	105.42
5.824	108.82
5.834	113.44
5.844	115.35
5.854	113.84
5.864	112.7
5.964	82.83
5.974	84.39
5.984	85.61
5.994	86.72
6.004	87.86
6.014	89.35
6.024	89.48
6.034	89.56
6.044	90.25
6.054	90.11
6.064	90.26
6.074	90.19
6.084	90.17
6.094	90.35
6.104	90.2
6.114	90.15
6.124	90.29
6.134	92.09
6.144	92.92
6.154	95.37
6.164	95.79
6.174	96.3
6.184	96.65
6.194	98.23
6.204	97.87
6.224	298.53
6.234	296.6
6.244	279.56
6.254	272.32
6.374	86.3
6.384	87.99
6.394	88.49
6.404	88.26
6.414	88.32
6.424	88.63
6.434	89.59
6.444	92.67
6.454	93.38
6.464	91.41
6.474	91.27
6.484	91.33
6.494	91.28
6.504	91.54
6.514	91.82
6.524	91.4
6.534	91.06
6.544	90.45
6.554	88.79
6.564	87.45
6.574	86.59
6.584	85.68
6.594	82.83
6.604	83.12
6.614	84.45
6.624	83.36
6.634	83.64
6.644	83.22
6.654	82.07
6.664	81.41
6.674	81.54
6.684	81.92
6.694	81.69
6.704	80.96
6.714	80.31
6.724	80.58
6.874	471.67
6.884	496.38
6.894	510.47
6.904	483.8
6.914	496.68
6.924	484.04
6.954	85.89
6.964	86.2
6.974	87.08
6.984	87.05
6.994	86.52
7.004	86.34
7.014	86.05
7.024	86.11
7.034	85.9
7.044	84.75
7.054	84.53
7.064	84.46
7.074	83.16
7.084	81.32
7.094	80.86
7.104	81.66
7.114	80.75
7.124	81.37
7.134	81.87
7.144	80.59
7.154	81.57
7.164	81.27
7.174	81.51
7.184	81.66
7.194	81.59
7.304	81.1
7.314	81.66
7.324	81.42
7.334	82.05
7.344	82.06
7.354	81.77
7.364	82.03
7.374	81.38
7.384	81.08
7.394	80.67
7.404	79.26
7.414	77.96
7.424	76.09
7.504	80.3
7.514	79.88
7.524	79.96
7.534	80.55
7.544	81.18
7.554	81.3
7.564	79.82
7.614	79.42
7.624	80.51
7.634	80.41
7.644	79.86
7.794	84.94
7.804	83.07
7.814	81.97
8.084	301.98
8.094	300.31
8.104	286.02
8.114	283.82
8.364	366.3
8.374	379.89
8.384	381.85
8.394	378.83
8.404	381.84
8.414	381.34
8.424	369.26
8.434	359.57
8.454	85.53
8.464	84.35
8.474	85.63
8.484	85.83
8.494	86.42
8.504	86.4
8.514	85.88
8.524	86.38
8.534	86.01
8.544	84.74
8.554	83.16
8.564	80.38
8.584	327.06
8.594	325.89
8.604	318.9
8.614	332.41
8.624	322.7
8.634	295.96
8.754	84.44
8.764	84.22
8.774	83.41
8.784	83.65
8.794	85.17
8.804	86.57
8.814	87.14
8.824	87.31
8.834	87.15
8.844	86.98
8.854	87.01
8.864	87.16
8.874	87.2
8.884	87.46
8.894	87.73
8.904	87.54
8.914	87.02
8.924	86.39
8.934	85.73
8.944	172.94
8.954	175.52
8.964	171.27
8.974	171.65
9.114	84.07
9.124	83.96
9.134	83.78
9.144	82.49
9.154	83.94
9.164	83.58
9.174	84.7
9.224	74.21
9.234	71.74
9.244	72.3
9.254	72.67
9.314	77.44
9.324	77.26
9.334	76.46
9.344	76.45
9.354	76.84
9.364	76.41
9.374	76.11
9.384	78.03
9.394	77.78
9.404	78.02
9.414	80.91
9.424	82.49
9.434	77.15
9.444	77.85
9.454	75.54
9.464	75.28
9.474	75.16
9.484	74.63
9.494	74.25
9.744	74.66
9.754	74.8
9.764	74.96
9.774	75.05
9.784	75.55
9.794	75.18
11.104	352.6
11.114	362.59
11.124	379.56
11.134	360.85
11.174	92.21
11.184	92.7
11.194	93.52
11.294	115.89
11.304	115.14
11.314	117.13
11.324	117.41
11.334	116.31
11.344	116.02
11.354	115.12
11.364	113.95
11.374	113.55
11.384	113.35
11.394	115.73
11.404	115.87
11.414	113.13
11.424	111.81
11.434	111.27
11.444	111.18
11.454	111.15
11.464	111.61
11.474	111.81
11.484	111.86
11.494	111.66
11.504	111.73
11.514	112.56
11.524	112.25
11.534	111.14
11.544	109.6
11.554	109.74
11.564	111.95
11.574	112.49
11.584	111.08
11.594	110.73
11.634	93.01
11.644	91.63
11.654	90.5
11.664	89.5
11.674	89.24
11.684	89.9
11.694	94.72
11.704	94.46
11.714	92.64
11.724	90.57
11.734	90.57
11.744	91.35
11.754	91.64
11.764	93.2
11.774	93.08
11.784	94.51
11.794	94.36
11.804	95.32
11.814	101.26
11.824	101.98
11.834	103.8
11.844	103.55
11.854	104.93
11.864	104.27
11.874	105.15
11.884	104.79
11.894	104.98
11.904	104.49
11.914	103.97
11.924	103.69
11.934	103.09
11.944	102.2
11.954	101.31
11.964	100.51
11.974	99.13
11.984	99.31
11.994	101.5
12.004	102.01
12.054	100.19
12.064	99.29
12.074	92.64
12.084	91.3
12.094	89.94
12.104	88.46
12.114	86.85
12.124	86.84
12.134	86.71
12.144	86.02
12.154	84.55
12.164	82.96
12.174	83.44
12.184	81.29
12.194	81.26
12.204	83.04
12.214	82.5
12.224	81.55
12.234	82.3
12.244	83.45
12.254	84.16
12.264	84.2
12.274	83.67
12.284	84.03
12.294	83.69
12.304	83.58
12.314	83.93
12.324	83.83
12.334	83.2
12.344	82.59
12.354	81.99
12.364	81.23
12.374	79.89
12.384	76.55
12.394	75.17
12.404	116.07
12.414	119.19
12.424	117.03
12.474	241.51
13.334	97.03
13.344	96.79
13.354	100.86
13.364	116.01
13.414	84.46
13.424	81.4
13.434	80.89
13.544	83.87
13.554	84.47
13.564	84.37
13.574	83.87
13.644	324.98
13.654	318.39
13.664	310.57
13.674	312.38
13.684	308.39
