time	f0
0.444	247.94
0.454	248.62
0.464	252.49
0.594	147.9
0.604	152.98
0.614	150.09
0.624	145.07
0.634	143.93
0.644	146.53
0.654	141.61
0.664	140.79
0.674	141.68
0.684	142.14
0.694	139.3
0.704	142.25
0.714	265.84
0.724	258.18
0.734	257.53
0.744	268.35
0.754	245.55
0.764	254.07
0.774	260.05
0.784	265.19
0.794	267.81
0.804	221.23
0.814	266.03
0.824	242.55
0.834	242.53
0.844	261.52
0.854	260.32
0.864	244.66
0.914	208.41
0.924	198.34
0.934	212.83
0.944	198.26
0.954	228.3
0.964	265.08
0.974	246.2
0.984	237.18
0.994	234.28
1.004	261.04
1.024	241.68
1.034	233.95
1.044	219.85
1.054	251.52
1.064	239.13
1.074	252.97
1.084	252.2
1.094	235.61
1.104	231.67
1.114	223.03
1.124	263.58
1.134	228.76
1.144	243.3
1.154	227.55
1.194	126.89
1.214	150.59
1.224	154.95
1.234	165.14
1.374	170.96
1.384	172.21
1.394	171.68
1.404	170.82
1.414	169.98
1.424	170.33
1.434	171.22
1.444	172.06
1.454	173.56
1.464	172.98
1.474	172.45
1.484	171.73
1.494	170.92
1.504	170.25
1.514	169.8
1.524	170.16
1.534	169.54
1.544	170.06
1.554	261.52
1.564	248.79
1.574	258.95
1.584	255.83
1.594	266.79
1.604	250.06
1.614	225.54
1.624	127.7
1.634	159.08
1.644	164.9
1.654	160.78
1.664	165.35
1.674	158.5
1.684	164.51
1.694	154.31
1.704	158.15
1.714	156.16
1.724	159
1.734	155.55
1.744	156.1
1.754	156.39
1.764	157.74
1.774	157.53
1.784	154.86
1.794	155.47
1.804	154.04
1.814	155.13
1.824	154.02
1.834	154.35
1.844	150.9
1.854	148.78
1.864	146.16
1.874	152.03
1.884	153.51
1.894	152.68
1.904	151.91
1.914	148.84
1.924	148.18
2.044	170.33
2.054	158.67
2.064	165.51
2.074	170.12
2.084	182.31
2.094	200.68
2.104	185.92
2.114	191.6
2.124	192.68
2.134	194.04
2.144	196.97
2.154	197.83
2.164	197.78
2.174	196.42
2.184	195.67
2.194	191.55
2.204	191.62
2.214	192.31
2.224	186.2
2.234	177.1
2.244	170.71
2.254	171.1
2.264	178.26
2.274	179.33
2.284	174.12
2.294	177.45
2.304	175.93
2.314	186.6
2.324	193.01
2.334	190.12
2.344	191.41
2.354	194.19
2.364	178.72
2.374	181.64
2.384	178.92
2.394	175.57
2.404	174.14
2.454	161.24
2.464	154.15
2.474	157.42
2.484	156.79
2.494	158.66
2.504	163.68
2.514	162.65
2.524	159.3
2.534	154.75
2.544	160.33
2.554	160.67
2.564	156.95
2.574	161.69
2.584	162.53
2.594	165.24
2.604	162.15
2.614	165.11
2.624	166
2.634	167.16
