time	f0
0.025	100.64
0.035	99.52
0.045	98.41
0.055	99.13
0.065	99.31
0.075	95.44
0.085	94.3
0.095	100.5
0.125	96.51
0.135	94.16
0.245	121.36
0.255	118.82
0.265	118.09
0.275	117.22
0.285	115.83
0.295	112.84
0.305	112.1
0.315	112.24
0.325	111.85
0.335	112.93
0.345	110.65
0.355	108.74
0.365	111.23
0.375	111.28
0.385	111.37
0.395	110.33
0.405	109.82
0.415	110.93
0.425	110.34
0.435	108.92
0.445	108.03
0.455	108.33
0.465	108.51
0.475	107.95
0.485	108.19
0.495	108.01
0.505	107.7
0.515	108.19
0.525	108.06
0.535	107.19
0.545	107.19
0.555	106.16
0.565	105.24
0.575	105.12
0.585	104.65
0.595	105.01
0.655	69.48
0.665	70.74
0.675	69.36
0.685	70.19
0.695	71.3
0.705	97.05
0.715	94.96
0.725	93.23
0.735	94.05
0.745	93.11
0.755	89.05
0.765	92.35
0.775	93.91
0.785	95.31
0.795	94.98
0.805	92.86
0.815	93.24
0.825	94.55
0.835	92.14
0.845	90.31
0.855	91.48
0.865	93.18
0.875	91.1
0.885	92.71
0.895	92.93
0.905	91.16
0.915	89.54
0.925	89.09
0.935	86.17
0.945	84.98
1.265	110.87
1.275	107.72
1.285	104.31
1.295	106.67
1.305	101.29
1.315	95.36
1.325	92.99
1.335	91.43
1.345	92.46
1.375	98.37
1.385	98.38
1.395	97.14
1.405	95.14
1.415	93.5
1.425	93.11
1.435	91.22
1.445	96.26
1.455	99.75
1.465	97.52
1.475	97.9
1.485	96.87
1.495	97.61
1.505	99.83
1.515	97.09
1.525	102.7
1.535	102.14
1.545	102.15
1.555	105.75
1.565	103.39
